"collectionCode","catalogNumber","verbatimWaterBody","Waterbody","verbatimContinent","Continent"
"Mammals","42222",,"Indian Ocean","Africa","Africa"
"Mammals","42160",,"Indian Ocean","Africa","Africa"
"Mammals","42168",,"Indian Ocean","Africa","Africa"
"Mammals","42294",,"Indian Ocean","Africa","Africa"
"Mammals","42165",,"Indian Ocean","Africa","Africa"
"Mammals","42297",,"Indian Ocean","Africa","Africa"
"Mammals","42163",,"Indian Ocean","Africa","Africa"
"Mammals","42134",,"Indian Ocean","Africa","Africa"
"Mammals","42161",,"Indian Ocean","Africa","Africa"
"Mammals","42171",,"Indian Ocean","Africa","Africa"
"Mammals","42159",,"Indian Ocean","Africa","Africa"
"Mammals","42158",,"Indian Ocean","Africa","Africa"
"Mammals","42157",,"Indian Ocean","Africa","Africa"
"Mammals","42155",,"Indian Ocean","Africa","Africa"
"Mammals","42153",,"Indian Ocean","Africa","Africa"
"Mammals","42204",,"Indian Ocean","Africa","Africa"
"Mammals","42162",,"Indian Ocean","Africa","Africa"
"Mammals","42285",,"Indian Ocean","Africa","Africa"
"Mammals","42230",,"Indian Ocean","Africa","Africa"
"Mammals","42451",,"Indian Ocean","Africa","Africa"
"Mammals","42450",,"Indian Ocean","Africa","Africa"
"Mammals","42449",,"Indian Ocean","Africa","Africa"
"Mammals","42445",,"Indian Ocean","Africa","Africa"
"Mammals","42448",,"Indian Ocean","Africa","Africa"
"Mammals","42169",,"Indian Ocean","Africa","Africa"
"Mammals","42447",,"Indian Ocean","Africa","Africa"
"Mammals","42170",,"Indian Ocean","Africa","Africa"
"Mammals","42283",,"Indian Ocean","Africa","Africa"
"Mammals","42278",,"Indian Ocean","Africa","Africa"
"Mammals","42272",,"Indian Ocean","Africa","Africa"
"Mammals","42268",,"Indian Ocean","Africa","Africa"
"Mammals","42172",,"Indian Ocean","Africa","Africa"
"Mammals","42133",,"Indian Ocean","Africa","Africa"
"Mammals","42446",,"Indian Ocean","Africa","Africa"
"Mammals","42255",,"Indian Ocean","Africa","Africa"
"Mammals","42374",,"Indian Ocean","Africa","Africa"
"Mammals","42373",,"Indian Ocean","Africa","Africa"
"Mammals","42372",,"Indian Ocean","Africa","Africa"
"Mammals","42299",,"Indian Ocean","Africa","Africa"
"Mammals","42298",,"Indian Ocean","Africa","Africa"
"Mammals","42152",,"Indian Ocean","Africa","Africa"
"Mammals","42235",,"Indian Ocean","Africa","Africa"
"Mammals","42291",,"Indian Ocean","Africa","Africa"
